+----------+--------------------------+--------------+------------------+-----------------+------------------+-----------------+--------------------------+---------------------------------------------------------------+-------------------------------------------------------------------------+
| Position |           Name           |    Price     | 24h price change | 7d price change |    Market cap    |    Volume 24h   |    Circulating suply     |                              Logo                             |                              7d price graph                             |
+----------+--------------------------+--------------+------------------+-----------------+------------------+-----------------+--------------------------+---------------------------------------------------------------+-------------------------------------------------------------------------+
|    1     |         Bitcoin          |  $38,471.95  |      -3.28%      |      -1.24%     | $731,798,352,886 | $24,532,788,341 |      19,021,606 BTC      |   https://s2.coinmarketcap.com/static/img/coins/64x64/1.png   |   https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1.svg   |
|    2     |         Ethereum         |  $2,812.55   |      -4.65%      |      -3.00%     | $338,965,013,016 | $14,067,678,132 |     120,518,678 ETH      |  https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1027.svg |
|    3     |          Tether          |    $1.00     |      +0.01%      |      -0.00%     | $83,149,199,125  | $53,271,672,828 |   83,126,200,539 USDT    |  https://s2.coinmarketcap.com/static/img/coins/64x64/825.png  |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/825.svg  |
|    4     |           BNB            |   $385.04    |      -4.56%      |      -3.50%     | $62,867,379,766  |  $1,478,540,555 |     163,276,975 BNB      |  https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1839.svg |
|    5     |         USD Coin         |   $0.9997    |      -0.07%      |      +0.01%     | $49,875,321,281  |  $3,429,212,179 |   49,892,351,394 USDC    |  https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3408.svg |
|    6     |          Solana          |    $95.36    |      -6.33%      |      -0.76%     | $31,810,077,537  |  $1,139,247,782 |     333,567,735 SOL      |  https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5426.svg |
|    7     |           XRP            |   $0.6513    |      -8.44%      |     -11.49%     | $31,328,836,288  |  $1,772,494,122 |    48,105,234,849 XRP    |   https://s2.coinmarketcap.com/static/img/coins/64x64/52.png  |   https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/52.svg  |
|    8     |          Terra           |    $88.93    |      -2.76%      |     +15.90%     | $30,996,328,711  |  $1,743,619,838 |     348,533,335 LUNA     |  https://s2.coinmarketcap.com/static/img/coins/64x64/4172.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4172.svg |
|    9     |         Cardano          |   $0.8341    |      -6.78%      |      -5.45%     | $28,152,260,300  |   $756,596,095  |    33,752,565,071 ADA    |  https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2010.svg |
|    10    |        Avalanche         |    $67.93    |      -6.92%      |      -6.76%     | $18,247,907,366  |   $539,312,134  |     268,619,267 AVAX     |  https://s2.coinmarketcap.com/static/img/coins/64x64/5805.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5805.svg |
|    11    |         TerraUSD         |    $1.00     |      -0.08%      |      -0.09%     | $18,189,744,675  |   $393,245,432  |    18,180,411,199 UST    |  https://s2.coinmarketcap.com/static/img/coins/64x64/7129.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/7129.svg |
|    12    |       Binance USD        |   $0.9988    |      +0.07%      |      -0.15%     | $17,538,339,546  |  $3,392,939,052 |   17,558,654,054 BUSD    |  https://s2.coinmarketcap.com/static/img/coins/64x64/4687.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4687.svg |
|    13    |         Polkadot         |    $17.24    |      -8.71%      |      +0.02%     | $17,026,851,058  |   $712,411,909  |     987,579,315 DOT      |  https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/6636.svg |
|    14    |         Dogecoin         |   $0.1244    |      -7.39%      |      -7.90%     | $16,509,344,453  |   $709,750,314  |   132,670,764,300 DOGE   |   https://s2.coinmarketcap.com/static/img/coins/64x64/74.png  |   https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/74.svg  |
|    15    |        Shiba Inu         |  $0.0000228  |      -5.94%      |      -5.30%     | $12,519,403,506  |   $607,077,983  | 549,063,278,876,302 SHIB |  https://s2.coinmarketcap.com/static/img/coins/64x64/5994.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5994.svg |
|    16    |     Wrapped Bitcoin      |  $38,490.57  |      -3.07%      |      -1.14%     | $10,800,660,514  |   $154,428,124  |       280,605 WBTC       |  https://s2.coinmarketcap.com/static/img/coins/64x64/3717.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3717.svg |
|    17    |         Polygon          |    $1.28     |      -6.05%      |      -2.50%     |  $9,986,481,328  |   $574,232,040  |   7,814,866,567 MATIC    |  https://s2.coinmarketcap.com/static/img/coins/64x64/3890.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3890.svg |
