+----------+--------------------------+--------------+------------------+-----------------+------------------+-----------------+--------------------------+---------------------------------------------------------------+-------------------------------------------------------------------------+
| Position |           Name           |    Price     | 24h price change | 7d price change |    Market cap    |    Volume 24h   |    Circulating suply     |                              Logo                             |                              7d price graph                             |
+----------+--------------------------+--------------+------------------+-----------------+------------------+-----------------+--------------------------+---------------------------------------------------------------+-------------------------------------------------------------------------+
|    1     |         Bitcoin          |  $38,596.56  |      -2.94%      |      -0.93%     | $734,168,641,968 | $25,399,196,299 |      19,021,606 BTC      |   https://s2.coinmarketcap.com/static/img/coins/64x64/1.png   |   https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1.svg   |
|    2     |         Ethereum         |  $2,829.74   |      -4.10%      |      -2.59%     | $341,036,826,305 | $14,726,540,316 |     120,518,678 ETH      |  https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1027.svg |
|    3     |          Tether          |    $1.00     |      +0.00%      |      -0.01%     | $83,144,758,173  | $55,137,992,263 |   83,126,200,539 USDT    |  https://s2.coinmarketcap.com/static/img/coins/64x64/825.png  |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/825.svg  |
|    4     |           BNB            |   $386.54    |      -4.14%      |      -3.48%     | $63,113,377,126  |  $1,520,232,472 |     163,276,975 BNB      |  https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1839.svg |
|    5     |         USD Coin         |    $1.00     |      +0.02%      |      +0.07%     | $49,910,671,913  |  $3,528,169,486 |   49,892,351,394 USDC    |  https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3408.svg |
|    6     |          Solana          |    $95.48    |      -6.44%      |      -0.59%     | $31,847,463,578  |  $1,166,145,803 |     333,567,735 SOL      |  https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5426.svg |
|    7     |           XRP            |   $0.6548    |      -7.89%      |     -11.19%     | $31,499,659,444  |  $1,844,651,558 |    48,105,234,849 XRP    |   https://s2.coinmarketcap.com/static/img/coins/64x64/52.png  |   https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/52.svg  |
|    8     |          Terra           |    $88.98    |      -2.72%      |     +15.07%     | $31,010,787,219  |  $1,823,348,159 |     348,533,335 LUNA     |  https://s2.coinmarketcap.com/static/img/coins/64x64/4172.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4172.svg |
|    9     |         Cardano          |   $0.8414    |      -5.82%      |      -4.94%     | $28,398,282,793  |   $794,160,737  |    33,752,565,071 ADA    |  https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2010.svg |
|    10    |        Avalanche         |    $68.58    |      -6.22%      |      -6.18%     | $18,420,800,513  |   $567,191,324  |     268,619,267 AVAX     |  https://s2.coinmarketcap.com/static/img/coins/64x64/5805.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5805.svg |
|    11    |         TerraUSD         |    $1.00     |      +0.04%      |      +0.00%     | $18,210,641,748  |   $416,344,128  |    18,180,411,199 UST    |  https://s2.coinmarketcap.com/static/img/coins/64x64/7129.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/7129.svg |
|    12    |       Binance USD        |    $1.00     |      +0.01%      |      +0.03%     | $17,573,537,709  |  $3,523,752,740 |   17,558,654,054 BUSD    |  https://s2.coinmarketcap.com/static/img/coins/64x64/4687.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4687.svg |
|    13    |         Polkadot         |    $17.37    |      -7.77%      |      +0.29%     | $17,158,786,568  |   $729,972,007  |     987,579,315 DOT      |  https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/6636.svg |
|    14    |         Dogecoin         |    $0.125    |      -6.95%      |      -7.44%     | $16,582,868,758  |   $729,123,182  |   132,670,764,300 DOGE   |   https://s2.coinmarketcap.com/static/img/coins/64x64/74.png  |   https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/74.svg  |
|    15    |        Shiba Inu         | $0.00002294  |      -5.36%      |      -4.73%     | $12,594,154,717  |   $628,638,685  | 549,063,278,876,302 SHIB |  https://s2.coinmarketcap.com/static/img/coins/64x64/5994.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5994.svg |
|    16    |     Wrapped Bitcoin      |  $38,536.13  |      -2.95%      |      -1.05%     | $10,813,443,478  |   $157,308,757  |       280,605 WBTC       |  https://s2.coinmarketcap.com/static/img/coins/64x64/3717.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3717.svg |
|    17    |         Polygon          |    $1.29     |      -4.91%      |      -1.41%     | $10,117,367,390  |   $595,542,931  |   7,814,866,567 MATIC    |  https://s2.coinmarketcap.com/static/img/coins/64x64/3890.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3890.svg |
|    18    |          Cronos          |    $0.387    |      -4.64%      |      -1.67%     |  $9,777,711,039  |   $48,509,548   |    25,263,013,692 CRO    |  https://s2.coinmarketcap.com/static/img/coins/64x64/3635.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3635.svg |
|    19    |      NEAR Protocol       |    $13.78    |      -9.92%      |      -7.31%     |  $9,365,278,696  |   $918,100,254  |     679,412,414 NEAR     |  https://s2.coinmarketcap.com/static/img/coins/64x64/6535.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/6535.svg |
|    20    |           Dai            |   $0.9996    |      -0.02%      |      +0.00%     |  $9,112,937,339  |   $251,878,174  |    9,116,713,536 DAI     |  https://s2.coinmarketcap.com/static/img/coins/64x64/4943.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4943.svg |
|    21    |         Litecoin         |   $100.74    |      -4.55%      |      -5.00%     |  $7,066,582,392  |   $687,119,032  |      70,145,381 LTC      |   https://s2.coinmarketcap.com/static/img/coins/64x64/2.png   |   https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2.svg   |
|    22    |           TRON           |   $0.06257   |      -4.93%      |      +4.75%     |  $6,358,774,534  |   $773,052,903  |   101,630,628,403 TRX    |  https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1958.svg |
|    23    |          Cosmos          |    $21.15    |      -8.18%      |      -6.77%     |  $6,057,185,792  |   $426,709,961  |     286,370,297 ATOM     |  https://s2.coinmarketcap.com/static/img/coins/64x64/3794.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3794.svg |
|    24    |        Chainlink         |    $12.72    |      -5.81%      |      -4.19%     |  $5,938,071,006  |   $424,249,428  |     467,009,550 LINK     |  https://s2.coinmarketcap.com/static/img/coins/64x64/1975.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1975.svg |
|    25    |       Bitcoin Cash       |   $302.93    |      -3.51%      |      -3.56%     |  $5,769,569,137  |  $3,968,195,081 |      19,045,894 BCH      |  https://s2.coinmarketcap.com/static/img/coins/64x64/1831.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1831.svg |
|    26    |         Uniswap          |    $8.32     |      -8.43%      |      -6.87%     |  $5,745,406,261  |   $188,796,746  |     690,504,875 UNI      |  https://s2.coinmarketcap.com/static/img/coins/64x64/7083.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/7083.svg |
|    27    |       UNUS SED LEO       |    $5.87     |      +0.55%      |      +1.01%     |  $5,601,866,331  |    $6,629,310   |     953,954,130 LEO      |  https://s2.coinmarketcap.com/static/img/coins/64x64/3957.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3957.svg |
|    28    |        FTX Token         |    $40.03    |      -2.93%      |      -2.11%     |  $5,483,680,190  |   $114,701,179  |     136,992,148 FTT      |  https://s2.coinmarketcap.com/static/img/coins/64x64/4195.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4195.svg |
|    29    |         ApeCoin          |    $17.44    |      +5.33%      |     +56.81%     |  $4,968,779,205  |  $1,792,520,556 |     284,843,750 APE      | https://s2.coinmarketcap.com/static/img/coins/64x64/18876.png | https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/18876.svg |
|    30    |         Stellar          |   $0.1811    |      -5.87%      |      -5.57%     |  $4,490,465,326  |   $273,607,846  |    24,791,719,604 XLM    |  https://s2.coinmarketcap.com/static/img/coins/64x64/512.png  |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/512.svg  |
|    31    |         Algorand         |   $0.6642    |      -6.43%      |      -4.95%     |  $4,458,818,726  |   $151,897,518  |    6,712,776,349 ALGO    |  https://s2.coinmarketcap.com/static/img/coins/64x64/4030.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4030.svg |
|    32    |          Monero          |   $242.49    |      -6.19%      |      +1.42%     |  $4,392,036,263  |   $241,240,191  |      18,112,307 XMR      |  https://s2.coinmarketcap.com/static/img/coins/64x64/328.png  |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/328.svg  |
|    33    |     Ethereum Classic     |    $32.12    |      -6.57%      |      -8.19%     |  $4,317,687,951  |   $568,549,760  |     134,433,899 ETC      |  https://s2.coinmarketcap.com/static/img/coins/64x64/1321.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1321.svg |
|    34    |          Hedera          |   $0.1742    |      -7.54%      |      -4.99%     |  $3,523,360,325  |   $58,057,886   |   20,227,064,411 HBAR    |  https://s2.coinmarketcap.com/static/img/coins/64x64/4642.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4642.svg |
|    35    |       Decentraland       |    $1.88     |      -6.47%      |      -5.66%     |  $3,460,217,875  |   $293,120,774  |    1,842,479,269 MANA    |  https://s2.coinmarketcap.com/static/img/coins/64x64/1966.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1966.svg |
|    36    |    Internet Computer     |    $15.36    |      -6.61%      |      -4.60%     |  $3,455,488,574  |   $171,808,832  |     225,151,809 ICP      |  https://s2.coinmarketcap.com/static/img/coins/64x64/8916.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/8916.svg |
|    37    |         Filecoin         |    $17.80    |      -6.47%      |      -5.82%     |  $3,445,461,247  |   $440,072,469  |     193,576,266 FIL      |  https://s2.coinmarketcap.com/static/img/coins/64x64/2280.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2280.svg |
|    38    |         VeChain          |   $0.05278   |      -8.64%      |      -5.65%     |  $3,397,735,710  |   $214,886,217  |    64,315,576,989 VET    |  https://s2.coinmarketcap.com/static/img/coins/64x64/3077.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3077.svg |
|    39    |          Elrond          |   $145.09    |      -6.82%      |      -0.97%     |  $3,168,650,093  |   $106,707,914  |     21,840,575 EGLD      |  https://s2.coinmarketcap.com/static/img/coins/64x64/6892.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/6892.svg |
|    40    |       The Sandbox        |    $2.61     |      -3.66%      |      +0.49%     |  $3,021,819,534  |   $475,002,713  |    1,158,437,853 SAND    |  https://s2.coinmarketcap.com/static/img/coins/64x64/6210.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/6210.svg |
|    41    |      Theta Network       |    $2.81     |      -9.87%      |      +0.55%     |  $2,815,241,733  |   $195,270,888  |   1,000,000,000 THETA    |  https://s2.coinmarketcap.com/static/img/coins/64x64/2416.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2416.svg |
|    42    |       PancakeSwap        |    $8.73     |      -8.72%      |      +9.34%     |  $2,565,787,184  |   $214,915,531  |     293,943,019 CAKE     |  https://s2.coinmarketcap.com/static/img/coins/64x64/7186.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/7186.svg |
|    43    |          Fantom          |    $1.00     |      -8.75%      |      -6.74%     |  $2,547,685,131  |   $323,883,578  |    2,545,006,273 FTM     |  https://s2.coinmarketcap.com/static/img/coins/64x64/3513.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3513.svg |
|    44    |          Tezos           |    $2.85     |      -5.94%      |      -4.52%     |  $2,538,213,357  |   $95,764,104   |     892,199,262 XTZ      |  https://s2.coinmarketcap.com/static/img/coins/64x64/2011.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2011.svg |
|    45    |        THORChain         |    $7.53     |      -7.00%      |      +2.43%     |  $2,490,343,272  |   $141,600,875  |     330,688,061 RUNE     |  https://s2.coinmarketcap.com/static/img/coins/64x64/4157.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4157.svg |
|    46    |      Axie Infinity       |    $40.75    |     -10.25%      |      -6.25%     |  $2,483,104,940  |   $244,056,800  |      60,907,500 AXS      |  https://s2.coinmarketcap.com/static/img/coins/64x64/6783.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/6783.svg |
|    47    |          Klaytn          |   $0.8814    |      -5.03%      |      -7.12%     |  $2,454,972,843  |   $91,294,318   |    2,785,226,245 KLAY    |  https://s2.coinmarketcap.com/static/img/coins/64x64/4256.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4256.svg |
|    48    |           EOS            |    $2.25     |      -7.23%      |      -3.54%     |  $2,220,865,974  |   $380,717,993  |     987,791,576 EOS      |  https://s2.coinmarketcap.com/static/img/coins/64x64/1765.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1765.svg |
|    49    |           Aave           |   $156.89    |      -9.16%      |      -2.14%     |  $2,146,922,807  |   $222,758,707  |     13,684,446 AAVE      |  https://s2.coinmarketcap.com/static/img/coins/64x64/7278.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/7278.svg |
|    50    |          Zcash           |   $149.41    |      -4.39%      |      +9.29%     |  $2,128,144,745  |   $258,022,435  |      14,243,763 ZEC      |  https://s2.coinmarketcap.com/static/img/coins/64x64/1437.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1437.svg |
|    51    |          STEPN           |    $3.20     |      +0.13%      |     +39.81%     |  $1,919,543,332  |  $2,024,031,317 |     600,000,000 GMT      | https://s2.coinmarketcap.com/static/img/coins/64x64/18069.png | https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/18069.svg |
|    52    |          Helium          |    $16.46    |      -6.46%      |     -12.75%     |  $1,913,919,010  |   $19,261,620   |     116,259,678 HNT      |  https://s2.coinmarketcap.com/static/img/coins/64x64/5665.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5665.svg |
|    53    |           Flow           |    $5.21     |      -6.74%      |      -4.46%     |  $1,881,949,502  |   $61,618,983   |     361,521,462 FLOW     |  https://s2.coinmarketcap.com/static/img/coins/64x64/4558.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4558.svg |
|    54    |       KuCoin Token       |    $19.09    |      -5.03%      |      -2.85%     |  $1,877,667,531  |    $5,602,687   |      98,379,861 KCS      |  https://s2.coinmarketcap.com/static/img/coins/64x64/2087.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2087.svg |
